variable,count,mean,std,variable,count,mean,std,variable,mean
SCE,217.0,27.16,23.74,SCE,80.0,21.03,8.35,SCE,15.779000282287598
expense_ratio,217.0,0.22,0.1,expense_ratio,80.0,0.18,0.06,expense_ratio,0.19571800529956815
