variable,count,mean,std,variable,count,mean,std,variable,mean
labor_market,217.0,21.12,13.36,labor_market,80.0,21.76,13.79,labor_market,34.0
labor_market_STEM,217.0,17.23,12.84,labor_market_STEM,80.0,18.59,12.59,labor_market_STEM,49.0
unemployment15,217.0,5.25,0.99,unemployment15,80.0,5.21,0.83,unemployment15,6.800000190734862
